
59,Roses - Imanbek Remix,SAINt JHN,10422551,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI

63,Muévelo,Nicky Jam,9994382,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ

64,Eleven,Khalid,9835375,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74

67,10.000 Hours (with Justin Bieber),Dan + Shay,9632834,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa

68,If The World Was Ending (feat. Julia Michaels),JP Saxe,9600536,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ

75,Lalala,Y2K,9129776,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo

76,Kein Wort,Juju,9118365,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n

79,Trampoline (with ZAYN),SHAED,8918528,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI

Top 10 Artists
-----------------
 Anuel AA
 Arizona Zervas
 BROCKHAMPTON
 BTS
 Bad Bunny
 Billie Eilish
 Camila Cabello
 DaBaby
 Dalex
 Dan + Shay
